"player_name","surgery_year","number_of_donors","ate_so9_scm","so9_year1","so9_year2","so9_year3","ate_so9_did","ate_so9_synthdid","ate_percentile_so9","ate_variance_so9","ate_fip_scm","fip_year1","fip_year2","fip_year3","ate_fip_did","ate_fip_synthdid","ate_percentile_fip","ate_variance_fip"
"Tyler Glasnow",2022,40,1.85761065832086,2.27673918413906,1.88017082425199,1.41592196657153,0.673333333333333,0.687712070076041,0.9,1.51381129314929,-0.822211936143805,-1.43742699368874,-0.351501468600015,-0.677707346142657,0.129927489966054,0.374731879832857,0.775,-1.27562233883031
"Kenta Maeda",2021,62,0.574957281801259,2.04072766394924,-0.890813100346718,NA,-0.540591397849462,0.0537643018543283,0.306451612903226,0.398108022707365,1.15536859036661,0.920176429738247,1.39056075099498,NA,0.647040340844451,0.686536448600554,0.887096774193548,1.45372006047544
"Chad Green",2021,47,-2.63196499745505,-3.37682837982699,-1.88710161508311,NA,-3.2968085106383,-3.51011885207241,0.914893617021277,-1.76542584577785,2.73077565327709,1.17878601108234,4.28276529547184,NA,2.24266762775124,2.20332221819548,1,3.74228329395773
"José Leclerc",2021,47,-0.887392495364208,-1.24055275704341,-1.53733611857795,0.115711389528744,-1.63404255319149,-1.7233299786172,0.446808510638298,-0.633209722758947,0.629898483854384,0.727373591741111,0.580529334599754,0.581792525222287,0.461405871563052,1.03623441003221,0.74468085106383,1.12700125458573
"Kirby Yates",2021,35,0.0770281958139707,-0.366372599896122,0.547586922677821,0.049870264660214,-1.78571428571428,-1.55657369453895,0.0857142857142857,0.0625793835535537,0.718631753075677,1.57361679888289,-0.579276062141626,1.16155452248577,1.43070495180525,1.23520613498907,0.657142857142857,1.0534847729653
"Mike Clevinger",2020,64,-2.78998115019394,-4.54346799356276,-1.03649430682513,NA,-2.78333333333333,-3.55304254844977,0.890625,-1.58777416963485,0.893038835228181,1.25907001643617,0.527007654020191,NA,1.46870925384387,1.46301398215136,0.859375,1.52599055203452
"Justin Verlander",2020,47,-2.55686388247619,-1.43207692101757,-3.16489588066561,-3.0736188457454,-2.93404255319149,-3.19456096405825,0.936170212765957,-1.82448136378551,0.238416004260311,-1.30456872459315,0.506206501086499,1.51361023628758,0.608028947910487,0.717958498475086,0.319148936170213,0.426568951667459
"Tommy Kahnle",2020,35,-1.57634557584629,-0.61795813255666,-1.27496357365945,-2.83611502132275,-3.28571428571429,-2.802731169223,0.771428571428571,-1.28065747044202,0.724386272381677,0.454854360515248,0.828653180059008,0.889651276570774,1.12408798826287,0.926785168255429,0.657142857142857,1.06192066302813
"Ty Blach",2020,51,-1.8067326732679,-2.08277227722768,-0.702970297031369,-2.63445544554465,0.402614379084966,0.221935268539322,0.823529411764706,-1.32171359533509,1.58384791131817,0.452941531586811,2.00684628648836,2.29175591587934,1.20137049078218,1.26735683736089,0.980392156862745,2.75472135924442
"Noah Syndergaard",2020,47,-3.5819438267316,-3.5222943105222,-3.641593342941,NA,-2.90851063829787,-3.15003253176615,0.936170212765957,-1.79464495801477,1.39318263156564,-0.330432019975741,3.11679728310702,NA,2.05250596744694,2.04007353480487,0.978723404255319,2.12502849602966
"Seranthony Domínguez",2020,70,-1.08271144126924,0.015560332909045,-2.93424906687407,-0.329445589842685,-0.763333333333333,-0.629600532460994,0.614285714285714,-0.79875974376037,0.696275239033239,-1.05330267881267,1.88956791389716,1.25256048201522,0.926942876029977,1.01641051612373,0.742857142857143,1.08284047680081
"Chris Sale",2020,35,-0.496022023037228,-1.67785385219847,-0.643943516528303,0.833731299615085,-1.51904761904762,-1.50421893272806,0.228571428571429,-0.402979092300464,-0.0291757454752047,1.35191760919831,-1.39279710728382,-0.0466477383401029,0.274257693965753,0.399379064735069,0,-0.0427704501874448
"Luis Severino",2020,31,-0.282928394163729,0.578796637553429,-1.21165418375458,-0.215927636290035,-1.23010752688172,-0.485693181134766,0.161290322580645,-0.193414916819788,0.117704399143291,-0.180995823875046,1.30297017344247,-0.768861152137545,1.19168348629144,1.07430726852565,0.193548387096774,0.204538045725716
"Tim Mayza",2020,81,-1.2794382234486,-0.93143953385951,-0.649202506617158,-2.25767262986912,-0.665637860082307,-0.524281522708509,0.641975308641975,-0.879509867567697,-0.427162251374287,-0.286762662799311,0.106183961804794,-1.10090805312834,-0.68371922735083,-0.430342947433749,0.358024691358025,-0.614769835806808
"David Robertson",2019,31,1.63548426270555,2.13880620307265,0.383054124505193,2.3845924605388,-0.296774193548389,0.514034789489051,0.612903225806452,1.118046329589,-0.947077910482286,-0.474819892535197,-0.585699730147392,-1.78071410876427,0.167940671947621,-0.0222897468589287,0.870967741935484,-1.64576231959026
"Jameson Taillon",2019,46,-0.295171779042477,-1.23956657454264,-0.279446851993521,0.633498089408727,0.227536231884058,0.448894761670684,0.195652173913043,-0.188060733711717,0.56047666177343,0.919894187963465,0.126159453342984,0.63537634401384,0.699647485137275,0.721077244751032,0.58695652173913,0.852067621293177
"Carlos Rodón",2019,46,3.45621522616136,4.89727793129864,3.64429214325805,1.82707560392739,2.66086956521739,2.99313531771878,1,2.20203426427151,-0.674264212813506,-1.84765823076535,-1.09846251986253,0.923328112187368,-1.06222484547293,-1.37375963195415,0.717391304347826,-1.02505374999426
"Corey Knebel",2019,77,-2.2929671387105,-2.8870631926409,-1.6988710847801,NA,-3.61731601731602,-3.06148082019952,0.792207792207792,-1.27426265934408,0.563458226916426,0.12991614750667,0.997000306326182,NA,0.407774785422813,0.58685639371907,0.311688311688312,0.58313689778051
